ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp
2	0	0	neu_l_28.wav	r_lup_18.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_4.wav	neu_r_53.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_5.wav	pos_r_58.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_18.wav	neu_r_17.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_4.wav	neu_r_66.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_2.wav	neu_r_75.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_16.wav	pos_r_40.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_20.wav	neu_r_18.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_4.wav	neu_r_61.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_8.wav	neu_r_18.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_15.wav	pos_r_41.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_2.wav	neu_r_22.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_45.wav	neu_r_1.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_10.wav	neu_r_24.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_12.wav	neg_r_46.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_15.wav	neu_r_26.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_30.wav	neu_r_49.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_45.wav	r_tol_3.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_42.wav	neg_r_35.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_39.wav	r_lup_19.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_14.wav	r_tol_7.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_70.wav	pos_r_16.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_15.wav	neu_r_61.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_42.wav	pos_r_68.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_19.wav	neu_r_76.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_3.wav	neu_r_52.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_6.wav	neg_r_31.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_11.wav	neu_r_21.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_56.wav	neu_r_8.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_12.wav	neg_r_66.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_38.wav	r_lup_13.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_9.wav	neu_r_60.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_4.wav	pos_r_43.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_19.wav	neu_r_44.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_47.wav	neu_r_63.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_9.wav	neu_r_76.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_4.wav	pos_r_56.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_19.wav	neu_r_5.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_13.wav	neu_r_61.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_2.wav	neu_r_17.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_16.wav	pos_r_64.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_20.wav	neu_r_65.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_14.wav	neu_r_36.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_27.wav	r_tol_1.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_14.wav	neg_r_38.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_47.wav	neu_r_36.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_4.wav	neu_r_5.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_5.wav	pos_r_42.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_18.wav	neu_r_60.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_12.wav	neu_r_35.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_9.wav	neu_r_6.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_4.wav	pos_r_2.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_19.wav	neu_r_53.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_15.wav	neu_r_50.wav	2015-03-04_11.08.49.598000
2	1	1	neu_l_20.wav	r_tol_10.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_28.wav	neg_r_65.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_69.wav	neu_r_63.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_8.wav	neu_r_1.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_15.wav	pos_r_70.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_2.wav	neu_r_58.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_34.wav	neu_r_57.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_20.wav	neu_r_50.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_18.wav	pos_r_27.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_8.wav	neu_r_54.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_77.wav	neu_r_23.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_17.wav	neu_r_49.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_19.wav	neg_r_47.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_7.wav	neu_r_62.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_40.wav	neu_r_44.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_32.wav	pos_r_69.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_72.wav	r_lup_15.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_42.wav	neg_r_58.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_45.wav	r_lup_13.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_68.wav	r_tol_3.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_79.wav	neg_r_52.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_27.wav	r_nif_14.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_16.wav	neg_r_32.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_67.wav	neu_r_37.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_10.wav	neu_r_18.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_12.wav	neg_r_68.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_15.wav	neu_r_60.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_13.wav	neu_r_54.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_16.wav	neu_r_53.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_2.wav	neg_r_38.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_13.wav	neu_r_8.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_32.wav	neu_r_1.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_67.wav	r_tol_11.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_77.wav	pos_r_71.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_77.wav	neu_r_24.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_32.wav	neg_r_6.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_80.wav	r_nif_4.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_3.wav	neu_r_44.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_6.wav	neg_r_16.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_11.wav	neu_r_23.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_72.wav	neu_r_59.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_4.wav	neu_r_6.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_5.wav	pos_r_44.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_18.wav	neu_r_43.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_42.wav	neu_r_74.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_39.wav	r_tol_7.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_11.wav	pos_r_46.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_79.wav	neu_r_38.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_32.wav	neg_r_3.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_56.wav	neu_r_52.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_3.wav	neu_r_2.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_6.wav	neg_r_60.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_11.wav	neu_r_73.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_77.wav	neu_r_75.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_14.wav	r_tol_7.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_40.wav	pos_r_80.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_55.wav	r_lup_15.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_9.wav	neu_r_36.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_4.wav	pos_r_8.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_19.wav	neu_r_6.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_72.wav	neu_r_75.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_48.wav	pos_r_73.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_29.wav	neu_r_8.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_13.wav	r_tol_1.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_29.wav	neg_r_64.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_34.wav	neu_r_53.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_4.wav	neu_r_21.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_5.wav	pos_r_66.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_18.wav	neu_r_26.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_78.wav	neu_r_17.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_16.wav	neu_r_26.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_2.wav	neg_r_59.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_13.wav	neu_r_17.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_46.wav	neu_r_38.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_9.wav	neu_r_43.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_4.wav	pos_r_57.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_19.wav	neu_r_37.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_9.wav	neu_r_1.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_4.wav	neu_r_58.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_5.wav	pos_r_13.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_18.wav	neu_r_5.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_77.wav	neu_r_35.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_48.wav	neg_r_57.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_31.wav	r_nif_9.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_20.wav	neu_r_66.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_18.wav	pos_r_6.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_8.wav	neu_r_23.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_47.wav	neu_r_51.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_4.wav	neu_r_66.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_5.wav	pos_r_45.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_18.wav	neu_r_52.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_42.wav	neu_r_25.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_16.wav	neg_r_21.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_29.wav	neu_r_59.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_70.wav	r_tol_3.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_55.wav	neg_r_41.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_56.wav	neu_r_18.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_70.wav	r_tol_11.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_4.wav	pos_r_58.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_19.wav	neu_r_66.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_14.wav	pos_r_50.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_14.wav	neu_r_6.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_3.wav	neu_r_49.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_6.wav	neg_r_55.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_11.wav	neu_r_43.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_16.wav	neu_r_35.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_20.wav	neu_r_62.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_18.wav	pos_r_37.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_8.wav	neu_r_22.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_40.wav	neu_r_6.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_78.wav	neg_r_51.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_20.wav	r_nif_17.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_13.wav	r_tol_1.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_3.wav	neg_r_40.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_72.wav	r_lup_19.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_34.wav	pos_r_14.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_9.wav	r_nif_1.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_4.wav	pos_r_66.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_80.wav	neu_r_57.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_20.wav	neu_r_63.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_18.wav	pos_r_21.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_8.wav	neu_r_2.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_39.wav	neu_r_23.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_29.wav	neg_r_25.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_32.wav	r_lup_5.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_71.wav	pos_r_2.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_3.wav	r_lup_14.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_3.wav	neu_r_50.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_6.wav	neg_r_52.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_11.wav	neu_r_38.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_16.wav	neu_r_25.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_80.wav	neg_r_45.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_46.wav	r_lup_6.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_80.wav	r_tol_7.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_30.wav	pos_r_48.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_71.wav	neu_r_23.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_7.wav	neu_r_26.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_9.wav	neg_r_79.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_6.wav	neu_r_26.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_78.wav	neu_r_5.wav	2015-03-04_11.08.49.598000
2	1	0	neu_l_70.wav	neg_r_24.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_28.wav	r_nif_17.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_17.wav	neu_r_64.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_19.wav	neg_r_34.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_7.wav	neu_r_36.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_3.wav	neu_r_64.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_71.wav	neg_r_74.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_10.wav	r_nif_4.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_7.wav	neu_r_57.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_9.wav	neg_r_6.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_6.wav	neu_r_61.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_69.wav	neu_r_26.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_9.wav	neu_r_7.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_4.wav	pos_r_34.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_19.wav	neu_r_51.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_42.wav	neu_r_7.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_20.wav	neu_r_17.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_18.wav	pos_r_15.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_8.wav	neu_r_62.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_30.wav	neu_r_43.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_27.wav	r_tol_8.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_60.wav	pos_r_60.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_33.wav	neu_r_74.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_2.wav	neu_r_44.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_16.wav	pos_r_72.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_20.wav	neu_r_73.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_45.wav	neu_r_65.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_16.wav	neu_r_8.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_2.wav	neg_r_1.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_13.wav	neu_r_25.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_30.wav	neu_r_37.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_15.wav	r_tol_8.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_15.wav	pos_r_5.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_34.wav	neu_r_54.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_20.wav	neu_r_62.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_18.wav	pos_r_68.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_8.wav	neu_r_63.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_19.wav	neu_r_76.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_17.wav	neu_r_63.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_19.wav	neg_r_28.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_7.wav	neu_r_73.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_55.wav	neu_r_38.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_3.wav	neu_r_7.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_6.wav	neg_r_69.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_11.wav	neu_r_60.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_47.wav	neu_r_64.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_77.wav	pos_r_49.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_70.wav	r_lup_6.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_8.wav	neu_r_75.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_15.wav	pos_r_20.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_2.wav	neu_r_6.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_72.wav	neu_r_60.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_20.wav	neu_r_21.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_18.wav	pos_r_74.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_8.wav	neu_r_24.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_78.wav	neu_r_61.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_8.wav	neu_r_51.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_15.wav	pos_r_75.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_2.wav	neu_r_52.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_71.wav	neu_r_75.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_17.wav	neu_r_58.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_19.wav	neg_r_44.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_7.wav	neu_r_75.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_67.wav	neu_r_58.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_13.wav	neg_r_78.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_12.wav	r_nif_5.wav	2015-03-04_11.08.49.598000
